Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Custom Coat HAI 60-1.75,380171,217,178,287,NA,54.7,2.04,NA,Yes,NA,NA
Custom Coat HAI 60-2.5,380290,218,354,441,61.1,NA,2.67,NA,NA,NA,NA
Custom Coat HAI 60-2.7,380174,212,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat HAI 60-2.85H,380148,215,418,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat HAI 60L-2.0H,380583,224,182,NA,NA,NA,NA,Yes,Yes,NA,NA
Custom Coat HAI 65B-4.5,380262,202,510,570,NA,NA,5.68,Yes,NA,NA,NA
Custom Coat HAI 70-2.5,380284,219,287,432,66.3,65.6,2.81,NA,NA,NA,NA
Custom Coat HAI 70L-4.0R,380160,206,381,500,NA,NA,4.35,Yes,NA,Yes,NA
Custom Coat HAI 80-1.4,380150,195,244,374,NA,77.1,1.73,NA,NA,NA,NA
Custom Coat HAI 90-4.8,380153,215,563,603,NA,74.5,5.14,NA,NA,NA,NA
Custom Coat Hegedus 60-1.5,363579,222,198,256,61,NA,1.7,NA,NA,NA,NA
Custom Coat Hegedus 60-2.5,363577,219,320,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Hereaus 85-4.8,380134,189,576,844,NA,NA,NA,NA,NA,NA,NA
Custom Coat Honda 40L-1.2 WJ,367261,204,247,358,NA,41,1.63,Yes,Yes,NA,NA
Custom Coat Honda 40L-1.3 WJ,367575,204,263,377,NA,40.8,1.7,Yes,Yes,NA,NA
Custom Coat Honda 80-1.4 PC,367578,196,250,395,NA,75.2,1.73,NA,NA,NA,NA
Custom Coat JCSteele 80-3.0BL,380019,212,387,NA,NA,NA,NA,NA,NA,Yes,NA
Custom Coat Keihin 80-1.5,367859,221,171,297,NA,74.3,1.88,NA,NA,NA,NA
Custom Coat Kingsbry 70-2.25,362137,213,350,462,NA,65.1,2.63,NA,NA,NA,NA
Custom Coat Kingsbry 70R-4.5W,366421,200,386,535,NA,63.8,6.24,NA,NA,NA,NA
Custom Coat LaGrand 100V-5.5,380690,208,263,326,NA,80.5,6.45,NA,NA,NA,NA
Custom Coat Lincoln 80-1.75,362376,212,230,333,NA,NA,NA,NA,NA,NA,NA
Custom Coat McWaneUT 55-6.0,380322,214,657,828,53.1,48.3,5.87,NA,NA,NA,NA
Custom Coat Melling 60-2.85,380692,217,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Meskan 60-1.5,380722,216,157,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Meskan 60-2.0,380725,215,210,NA,NA,NA,NA,NA,Yes,NA,NA
